date,value
11/8/2020,14839.84
11/7/2020,15595.77
11/6/2020,15591.39
11/5/2020,14155.59
11/4/2020,14023.31
11/3/2020,13575.17
11/2/2020,13758.88
11/1/2020,13810.32
10/31/2020,13564.72
10/30/2020,13458.66
10/29/2020,13289
10/28/2020,13651.47
10/27/2020,13076.37
10/26/2020,13036.77
10/25/2020,13128.46
10/24/2020,12944.52
10/23/2020,12990.25
10/22/2020,12831.56
10/21/2020,11925.46
10/20/2020,11758.16
10/19/2020,11508.2
10/18/2020,11366.51
10/17/2020,11327.57
10/16/2020,11503.73
10/15/2020,11431.32
10/14/2020,11428.24
10/13/2020,11540.04
10/12/2020,11376.61
10/11/2020,11302.67
10/10/2020,11063.19
10/9/2020,10923.3
10/8/2020,10670.8
10/7/2020,10603.74
10/6/2020,10788.56
10/5/2020,10673.46
10/4/2020,10551.77
10/3/2020,10575.06
10/2/2020,10619.24
10/1/2020,10777.92
9/30/2020,10840.8
9/29/2020,10692.33
9/28/2020,10774.24
9/27/2020,10732.4
9/26/2020,10692.84
9/25/2020,10732.43
9/24/2020,10234.48
9/23/2020,10532.22
9/22/2020,10430.46
9/21/2020,10919.65
9/20/2020,11081.43
9/19/2020,10931.79
9/18/2020,10943.89
9/17/2020,10948.43
9/16/2020,10785.62
9/15/2020,10674.64
9/14/2020,10330.77
9/13/2020,10446.44
9/12/2020,10395.44
9/11/2020,10352.66
9/10/2020,10227.83
9/9/2020,10121.52
9/8/2020,10367.74
9/7/2020,10254.93
9/6/2020,10159.62
9/5/2020,10467.89
9/4/2020,10187.51
9/3/2020,11397.44
9/2/2020,11923.25
9/1/2020,11659.57
8/31/2020,11707.78
8/30/2020,11481.64
8/29/2020,11534.75
8/28/2020,11302.01
8/27/2020,11467.37
8/26/2020,11337.4
8/25/2020,11763.93
8/24/2020,11653.02
8/23/2020,11683.44
8/22/2020,11522.8
8/21/2020,11865.82
8/20/2020,11734
8/19/2020,11969.53
8/18/2020,12293.72
8/17/2020,11914.01
8/16/2020,11873.98
8/15/2020,11774.38
8/14/2020,11777.43
8/13/2020,11573.11
8/12/2020,11392.43
8/11/2020,11893.03
8/10/2020,11684.06
8/9/2020,11767.6
8/8/2020,11605.6
8/7/2020,11772.94
8/6/2020,11750.28
8/5/2020,11194.25
8/4/2020,11242.57
8/3/2020,11077.77
8/2/2020,11823.69
8/1/2020,11343.88
7/31/2020,11114.93
7/30/2020,11102.67
7/29/2020,10934.94
7/28/2020,11042.4
7/27/2020,9938.83
7/26/2020,9707.5
7/25/2020,9551.28
7/24/2020,9613.11
7/23/2020,9537.4
7/22/2020,9392.66
7/21/2020,9163.87
7/20/2020,9214.66
7/19/2020,9174.71
7/18/2020,9154.19
7/17/2020,9131
7/16/2020,9193.51
7/15/2020,9254.52
7/14/2020,9238.13
7/13/2020,9295.9
7/12/2020,9235.96
7/11/2020,9287.4
7/10/2020,9238.04
7/9/2020,9440.07
7/8/2020,9256.23
7/7/2020,9348.91
7/6/2020,9089.09
7/5/2020,9131.31
7/4/2020,9072.42
7/3/2020,9087.98
7/2/2020,9236.38
7/1/2020,9133.97
6/30/2020,9185.35
6/29/2020,9127.47
6/28/2020,9004.23
6/27/2020,9154.45
6/26/2020,9240.85
6/25/2020,9276.58
6/24/2020,9621.49
6/23/2020,9691.9
6/22/2020,9284.78
6/21/2020,9357.43
6/20/2020,9300.15
6/19/2020,9380.03
6/18/2020,9454.81
6/17/2020,9526
6/16/2020,9426.7
6/15/2020,9330.07
6/14/2020,9473.5
6/13/2020,9459.97
6/12/2020,9286.42
6/11/2020,9892.13
6/10/2020,9775.15
6/9/2020,9782.59
6/8/2020,9753.85
6/7/2020,9670.43
6/6/2020,9623.75
6/5/2020,9794.56
6/4/2020,9658.04
6/3/2020,9525.57
6/2/2020,10204.23
6/1/2020,9450.84
5/31/2020,9698.1
5/30/2020,9425.98
5/29/2020,9569.21
5/28/2020,9197.54
5/27/2020,8842.85
5/26/2020,8899.66
5/25/2020,8730.73
5/24/2020,9178.32
5/23/2020,9167.26
5/22/2020,9057.57
5/21/2020,9510.67
5/20/2020,9785.74
5/19/2020,9719.37
5/18/2020,9669.4
5/17/2020,9385.7
5/16/2020,9303.59
5/15/2020,9790.31
5/14/2020,9305.93
5/13/2020,8814.53
5/12/2020,8617.25
5/11/2020,8754.46
5/10/2020,9527.39
5/9/2020,9821.8
5/8/2020,10002.48
5/7/2020,9170.79
5/6/2020,9030.96
5/5/2020,8885.93
5/4/2020,8903.95
5/3/2020,8973.82
5/2/2020,8824.66
5/1/2020,8628.77
4/30/2020,8777.63
4/29/2020,7765.33
4/28/2020,7790.66
4/27/2020,7699.27
4/26/2020,7549.52
4/25/2020,7507.08
4/24/2020,7477.6
4/23/2020,7130.99
4/22/2020,6852.52
4/21/2020,6840.24
4/20/2020,7130.04
4/19/2020,7259.36
4/18/2020,7034.89
4/17/2020,7112.27
4/16/2020,6623.8
4/15/2020,6871.95
4/14/2020,6857.66
4/13/2020,6915.37
4/12/2020,6891.6
4/11/2020,6873.24
4/10/2020,7293.69
4/9/2020,7365.03
4/8/2020,7205.55
4/7/2020,7343.2
4/6/2020,6777.44
4/5/2020,6871.69
4/4/2020,6741.67
4/3/2020,6809.11
4/2/2020,6652.87
4/1/2020,6428.28
3/31/2020,6405.29
3/30/2020,5885.41
3/29/2020,6260.95
3/28/2020,6369.09
3/27/2020,6763.75
3/26/2020,6698.46
